idx	time	x	y	z	xVel	yVel	zVel	pitch	heading	roll
1066.0	106.6	788.3837702860574	-4504.685514158571	1073.821908533892	127.16441407177135	4.777859904316971	54.85120562967495	-9.978893977775343	90.00832329363043	2.4315673084571983
1067.0	106.69999999999999	801.0620333048489	-4504.193775201944	1079.2753774442328	126.78263018791486	4.91738956627426	54.53468910340898	-10.057810490293203	90.04599267895708	2.3029270270428226
1068.0	106.8	813.7020584165648	-4503.688030908444	1084.6957229235975	126.40025111715846	5.057442935004922	54.20345479364717	-10.135301562659249	90.08355995800054	2.1726689696632477
1069.0	106.89999999999999	826.3037953037309	-4503.168231275972	1090.0815028118855	126.01736887166153	5.197996324715056	53.85779888287867	-10.211346649388009	90.12100263792789	2.040872970820584
1070.0	106.99999999999999	838.8672028500893	-4502.634328671011	1095.4313045672448	125.63407546358349	5.339026049610759	53.49801755359255	-10.285925204994005	90.15829822590618	1.9076188650169288
1071.0	107.1	851.3922491405976	-4502.086277828621	1100.7437452660724	125.2504629050837	5.480508423898128	53.124406988277926	-10.359016683991761	90.19542422910246	1.772986486754387
1072.0	107.19999999999999	863.8789114614298	-4501.5240358524425	1106.0174716030149	124.86662320832166	5.6224197617832665	52.737263369423914	-10.430600540895814	90.23235815468377	1.6370556705350567
1073.0	107.3	876.3271762999755	-4500.947562214696	1111.2511598909668	124.48264838545667	5.764736377472269	52.33688287951962	-10.500656230220677	90.26907750981711	1.499906250861046
1074.0	107.39999999999999	888.7370393448402	-4500.356818756179	1116.4435160610722	124.09863044864814	5.907434585171233	51.92356170105411	-10.569163206480875	90.30555980166955	1.361618062234451
1075.0	107.5	901.1085054858459	-4499.75176968627	1121.5932756627237	123.71466141005556	6.050490699086261	51.497596016516546	-10.636100924190941	90.34178253740815	1.2222709391573794
1076.0	107.6	913.4415888140297	-4499.132381582927	1126.6992038635633	123.33083328183828	6.193881033423448	51.059282008395996	-10.701448837865396	90.37772322419994	1.081944716131929
1077.0	107.69999999999999	925.7363126216453	-4498.498623392688	1131.7600954494815	122.94723807615571	6.337581902388896	50.60891585918158	-10.765186402018768	90.41335936921199	0.940719227660206
1078.0	107.8	937.9927094021621	-4497.850466430669	1136.7747748246177	122.5639678051673	6.4815696201887025	50.146793751362424	-10.827293071165585	90.44866847961134	0.7986743082443111
1079.0	107.89999999999999	950.2108208502653	-4497.187884380566	1141.7420960113604	122.18111448103238	6.625820501028963	49.67321186742759	-10.887748299820363	90.483628062565	0.6558897923863454
1080.0	108.0	962.3906978618564	-4496.510853294654	1146.6609426503471	121.79877011591044	6.7703108591157815	49.18846638986622	-10.94653154249764	90.51821562524005	0.5124455145884115
1081.0	108.1	974.5324005340525	-4495.819351593788	1151.530228000464	121.41702672196084	6.915017008655251	48.692853501167406	-11.00362225371193	90.55240867480352	0.36842130935261475
1082.0	108.19999999999999	986.6359981651868	-4495.113360067403	1156.348894938846	121.03597631134295	7.059915263853471	48.186669383820224	-11.058999887977764	90.58618471842243	0.22389701118105187
1083.0	108.3	998.7015692548084	-4494.392861873512	1161.1159159608774	120.65571089621623	7.204981938916543	47.67021022031385	-11.112643899809669	90.61952126326386	0.07895245457583089
1084.0	108.39999999999999	1010.7292015036825	-4493.657842538707	1165.8302931801911	120.27632248874008	7.350193348050564	47.14377219313733	-11.164533743722167	90.65239581649485	-0.06633252596095052
1085.0	108.5	1022.7189918137899	-4492.908289958161	1170.4910583286692	119.8979031010739	7.495525805461634	46.607651484779794	-11.214648874229788	90.68478588528244	-0.21187809592718543
1086.0	108.6	1034.6710462883277	-4492.144194395625	1175.0972727564422	119.52054474537714	7.640955625355851	46.06214427773034	-11.262968745847056	90.71666897679371	-0.3576044208207795
1087.0	108.69999999999999	1046.5854802317085	-4491.365548483432	1179.64802743189	119.14433943380912	7.786459121939311	45.5075467544781	-11.309472813088492	90.74802259819565	-0.5034316661396184
1088.0	108.8	1058.4624181495615	-4490.57234722249	1184.142442941641	118.7693791785293	7.9320126094181145	44.94415509751213	-11.354140530468628	90.7788242566553	-0.6492799973816135
